function 	FUNCTION
beginparams 	BEGIN_PARAMS
endparams 	END_PARAMS
beginlocals 	BEGIN_LOCALS
endlocals 	END_LOCALS
beginbody 	BEGIN_BODY
endbody 	END_BODY
integer 	INTEGER
array 	ARRAY
of 	OF
if 	IF
then 	THEN
endif 	ENDIF
else 	ELSE
while 	WHILE
do 	DO
for 	FOR
beginloop 	BEGINLOOP
endloop 	ENDLOOP
continue 	CONTINUE
read 	READ
write 	WRITE
and 	AND
or 	OR
not 	NOT
true 	TRUE
false 	FALSE
return 	RETURN
- 	SUB
+ 	ADD
* 	MULT
/ 	DIV
% 	MOD
== 	EQ
<> 	NEQ
< 	LT
> 	GT
<= 	LTE
>= 	GTE
XXXX	IDENT 
XXXX	NUMBER 
; 	SEMICOLON
: 	COLON
, 	COMMA
( 	L_PAREN
) 	R_PAREN
[ 	L_SQUARE_BRACKET
] 	R_SQUARE_BRACKET
:= 	ASSIGN
